,0,1,2,3,4
318,CO-500,Colorado,coloradobalanceofstate,ouray,1315
319,CO-500,Colorado,coloradobalanceofstate,park,1315
320,CO-500,Colorado,coloradobalanceofstate,phillips,1315
321,CO-500,Colorado,coloradobalanceofstate,pitkin,1315
322,CO-500,Colorado,coloradobalanceofstate,prowers,1315
323,CO-500,Colorado,coloradobalanceofstate,pueblo,1315
324,CO-500,Colorado,coloradobalanceofstate,rioblanco,1315
325,CO-500,Colorado,coloradobalanceofstate,riogrande,1315
326,CO-500,Colorado,coloradobalanceofstate,routt,1315
327,CO-500,Colorado,coloradobalanceofstate,saguache,1315
328,CO-500,Colorado,coloradobalanceofstate,sanjuan,1315
329,CO-500,Colorado,coloradobalanceofstate,sanmiguel,1315
330,CO-500,Colorado,coloradobalanceofstate,sedgwick,1315
331,CO-500,Colorado,coloradobalanceofstate,summit,1315
332,CO-500,Colorado,coloradobalanceofstate,teller,1315
333,CO-500,Colorado,coloradobalanceofstate,washington,1315
334,CO-500,Colorado,coloradobalanceofstate,yuma,1315
335,CO-503,Colorado,denver,denver,6884
336,CO-504,Colorado,elpaso,elpaso,1406
337,CO-504,Colorado,coloradosprings,elpaso,1406
338,CO-505,Colorado,weld,weld,792
339,CO-505,Colorado,larimer,larimer,792
340,CO-505,Colorado,loveland,larimer,792
341,CO-505,Colorado,greeley,weld,792
342,CO-505,Colorado,fortcollins,larimer,792
343,CT-503,Connecticut,fairfield,fairfield,603
344,CT-503,Connecticut,norwalk,fairfield,603
345,CT-503,Connecticut,stamford,fairfield,603
346,CT-503,Connecticut,bridgeport,fairfield,603
347,CT-505,Connecticut,connecticutbalanceofstate,hartford,2327
348,CT-505,Connecticut,connecticutbalanceofstate,litchfield,2327
349,CT-505,Connecticut,connecticutbalanceofstate,middlesex,2327
350,CT-505,Connecticut,connecticutbalanceofstate,newhaven,2327
351,CT-505,Connecticut,connecticutbalanceofstate,newlondon,2327
352,CT-505,Connecticut,connecticutbalanceofstate,tolland,2327
353,CT-505,Connecticut,connecticutbalanceofstate,windham,2327
354,DC-500,District of Columbia,districtofcolumbia,districtofcolumbia,4410
355,DE-500,Delaware,delawarestatewide,kent,2369
356,DE-500,Delaware,delawarestatewide,newcastle,2369
357,DE-500,Delaware,delawarestatewide,sussex,2369
358,FL-500,Florida,sarasota,sarasota,1138
359,FL-500,Florida,manatee,manatee,1138
360,FL-500,Florida,bradenton,manatee,1138
361,FL-500,Florida,sarasota,sarasota,1138
362,FL-501,Florida,borough,borough,1513
363,FL-501,Florida,tampa,borough,1513
364,FL-502,Florida,pinellas,pinellas,1985
365,FL-502,Florida,largo,pinellas,1985
366,FL-502,Florida,clearwater,pinellas,1985
367,FL-502,Florida,st.petersburg,pinellas,1985
368,FL-503,Florida,polk,polk,506
369,FL-503,Florida,winterhaven,polk,506
370,FL-503,Florida,lakeland,polk,506
371,FL-504,Florida,flagler,flagler,865
372,FL-504,Florida,volusia,volusia,865
373,FL-504,Florida,daytona,volusia,865
374,FL-504,Florida,daytona,volusia,865
375,FL-505,Florida,walton,walton,403
376,FL-505,Florida,okaloosa,okaloosa,403
377,FL-505,Florida,fortwalton,okaloosa,403
378,FL-506,Florida,leon,leon,621
379,FL-506,Florida,tallahassee,leon,621
380,FL-507,Florida,seminole,seminole,2151
381,FL-507,Florida,osceola,osceola,2151
382,FL-507,Florida,orange,orange,2151
383,FL-507,Florida,orlando,orange,2151
384,FL-508,Florida,putnam,putnam,925
385,FL-508,Florida,alachua,alachua,925
386,FL-508,Florida,gainesville,alachua,925
387,FL-509,Florida,martin,martin,846
388,FL-509,Florida,indianriver,indianriver,846
389,FL-509,Florida,st.lucie,st.lucie,846
390,FL-509,Florida,fortpierce,st.lucie,846
391,FL-510,Florida,clay,clay,1279
392,FL-510,Florida,duval,duval,1279
393,FL-510,Florida,jacksonville,duval,1279
394,FL-511,Florida,santarosa,santarosa,727
395,FL-511,Florida,escambia,escambia,727
396,FL-511,Florida,pensacola,escambia,727
397,FL-512,Florida,st.johns,st.johns,349
398,FL-513,Florida,brevard,brevard,916
399,FL-513,Florida,melbourne,brevard,916
400,FL-513,Florida,palmbay,brevard,916
401,FL-514,Florida,marion,marion,455
402,FL-514,Florida,ocala,marion,455
403,FL-515,Florida,jackson,jackson,378
404,FL-515,Florida,bay,bay,378
405,FL-515,Florida,panama,bay,378
406,FL-517,Florida,highlands,highlands,650
407,FL-517,Florida,hardee,hardee,650
408,FL-517,Florida,hendry,hendry,650
409,FL-518,Florida,suwannee,suwannee,488
410,FL-518,Florida,lafayette,lafayette,488
411,FL-518,Florida,hamilton,hamilton,488
412,FL-518,Florida,columbia,columbia,488
413,FL-519,Florida,pasco,pasco,589
414,FL-520,Florida,sumter,sumter,745
415,FL-520,Florida,lake,lake,745
416,FL-520,Florida,hernando,hernando,745
417,FL-520,Florida,citrus,citrus,745
418,FL-600,Florida,dade,pasco,3276
419,FL-600,Florida,miami,miami-dade,3276
420,FL-601,Florida,broward,broward,2054
421,FL-601,Florida,lauderdale,broward,2054
422,FL-602,Florida,charlotte,charlotte,148
423,FL-602,Florida,puntagorda,charlotte,148
424,FL-603,Florida,lee,lee,560
425,FL-603,Florida,capecoral,lee,560
426,FL-604,Florida,monroe,monroe,526
427,FL-605,Florida,palm,palm,1404
428,FL-605,Florida,palm,palm,1404
429,FL-606,Florida,collier,collier,462
430,FL-606,Florida,naples,collier,462
431,GA-500,Georgia,atlanta,fulton,2017
432,GA-501,Georgia,georgiabalanceofstate,appling,5856
433,GA-501,Georgia,georgiabalanceofstate,atkinson,5856
434,GA-501,Georgia,georgiabalanceofstate,bacon,5856
435,GA-501,Georgia,georgiabalanceofstate,baker,5856
436,GA-501,Georgia,georgiabalanceofstate,baldwin,5856
437,GA-501,Georgia,georgiabalanceofstate,banks,5856
438,GA-501,Georgia,georgiabalanceofstate,bartow,5856
439,GA-501,Georgia,georgiabalanceofstate,benhill,5856
440,GA-501,Georgia,georgiabalanceofstate,berrien,5856
441,GA-501,Georgia,georgiabalanceofstate,bibb,5856
442,GA-501,Georgia,georgiabalanceofstate,bleckley,5856
443,GA-501,Georgia,georgiabalanceofstate,brantley,5856
444,GA-501,Georgia,georgiabalanceofstate,brooks,5856
445,GA-501,Georgia,georgiabalanceofstate,bryan,5856
446,GA-501,Georgia,georgiabalanceofstate,bulloch,5856
447,GA-501,Georgia,georgiabalanceofstate,burke,5856
448,GA-501,Georgia,georgiabalanceofstate,butts,5856
449,GA-501,Georgia,georgiabalanceofstate,calhoun,5856
450,GA-501,Georgia,georgiabalanceofstate,camden,5856
451,GA-501,Georgia,georgiabalanceofstate,candler,5856
452,GA-501,Georgia,georgiabalanceofstate,carroll,5856
453,GA-501,Georgia,georgiabalanceofstate,catoosa,5856
454,GA-501,Georgia,georgiabalanceofstate,charlton,5856
455,GA-501,Georgia,georgiabalanceofstate,chattahoochee,5856
456,GA-501,Georgia,georgiabalanceofstate,chattooga,5856
457,GA-501,Georgia,georgiabalanceofstate,cherokee,5856
458,GA-501,Georgia,georgiabalanceofstate,clay,5856
459,GA-501,Georgia,georgiabalanceofstate,clayton,5856
460,GA-501,Georgia,georgiabalanceofstate,clinch,5856
461,GA-501,Georgia,georgiabalanceofstate,coffee,5856
462,GA-501,Georgia,georgiabalanceofstate,colquitt,5856
463,GA-501,Georgia,georgiabalanceofstate,columbia,5856
464,GA-501,Georgia,georgiabalanceofstate,cook,5856
465,GA-501,Georgia,georgiabalanceofstate,coweta,5856
466,GA-501,Georgia,georgiabalanceofstate,crawford,5856
467,GA-501,Georgia,georgiabalanceofstate,crisp,5856
468,GA-501,Georgia,georgiabalanceofstate,dade,5856
469,GA-501,Georgia,georgiabalanceofstate,dawson,5856
470,GA-501,Georgia,georgiabalanceofstate,decatur,5856
471,GA-501,Georgia,georgiabalanceofstate,dodge,5856
472,GA-501,Georgia,georgiabalanceofstate,dooly,5856
473,GA-501,Georgia,georgiabalanceofstate,dougherty,5856
474,GA-501,Georgia,georgiabalanceofstate,douglas,5856
475,GA-501,Georgia,georgiabalanceofstate,early,5856
