OR-501,Oregon,Portland,Gresham,Multnomah County CoC,,,,,
OR-502,Oregon,Medford,Ashland,Jackson County CoC,,,,,
OR-503,Oregon,Central Oregon CoC,,,,,,,
OR-504,Oregon,Salem,Marion,Polk Counties CoC,,,,,
OR-505,Oregon,Oregon Balance of State CoC,,,,,,,
OR-506,Oregon,Hillsboro,Beaverton,Washington County CoC,,,,,
OR-507,Oregon,Clackamas County CoC,,,,,,,
PA-500,Pennsylvania,Philadelphia CoC,,,,,,,
PA-501,Pennsylvania,Harrisburg,Dauphin County CoC,,,,,,
PA-502,Pennsylvania,Upper Darby,Chester,Haverford,Delaware County CoC,,,,
PA-503,Pennsylvania,Wilkes-Barre,Hazleton,Luzerne County CoC,,,,,
PA-504,Pennsylvania,Lower Merion,Norristown,Abington,Montgomery County CoC,,,,
PA-505,Pennsylvania,Chester County CoC,,,,,,,
PA-506,Pennsylvania,Reading,Berks County CoC,,,,,,
PA-508,Pennsylvania,Scranton,Lackawanna County CoC,,,,,,
PA-509,Pennsylvania,Eastern Pennsylvania CoC,,,,,,,
PA-510,Pennsylvania,Lancaster City & County CoC,,,,,,,
PA-511,Pennsylvania,Bristol,Bensalem,Bucks County CoC,,,,,
PA-512,Pennsylvania,York City & County CoC,,,,,,,
PA-600,Pennsylvania,Pittsburgh,McKeesport,Penn Hills,Allegheny County CoC,,,,
PA-601,Pennsylvania,Western Pennsylvania CoC,,,,,,,
PA-603,Pennsylvania,Beaver County CoC,,,,,,,
PA-605,Pennsylvania,Erie City & County CoC,,,,,,,
PR-502,Puerto Rico,Puerto Rico Balance of Commonwealth CoC,,,,,,,
PR-503,Puerto Rico,South-Southeast Puerto Rico CoC,,,,,,,
RI-500,Rhode Island,Rhode Island Statewide CoC,,,,,,,
SC-500,South Carolina,Charleston,Low Country CoC,,,,,,
SC-501,South Carolina,Greenville,Anderson,Spartanburg,Upstate CoC,,,,
SC-502,South Carolina,Columbia,Midlands CoC,,,,,,
SC-503,South Carolina,Myrtle Beach,Sumter City & County CoC,,,,,,
SD-500,South Dakota,South Dakota Statewide CoC,,,,,,,
TN-500,Tennessee,Chattanooga,Southeast Tennessee CoC,,,,,,
TN-501,Tennessee,Memphis,Shelby County CoC,,,,,,
TN-502,Tennessee,Knoxville,Knox County CoC,,,,,,
TN-503,Tennessee,Central Tennessee CoC,,,,,,,
TN-504,Tennessee,Nashville-Davidson County CoC,,,,,,,
TN-506,Tennessee,Upper Cumberland CoC,,,,,,,
TN-507,Tennessee,Jackson,West Tennessee CoC,,,,,,
TN-509,Tennessee,Appalachian Regional CoC,,,,,,,
TN-510,Tennessee,Murfreesboro,Rutherford County CoC,,,,,,
TN-512,Tennessee,Morristown,Blount,Sevier,Campbell,Cocke Counties CoC,,,
TX-500,Texas,San Antonio,Bexar County CoC,,,,,,
TX-503,Texas,Austin,Travis County CoC,,,,,,
TX-600,Texas,Dallas City & County,Irving CoC,,,,,,
TX-601,Texas,Fort Worth,Arlington,Tarrant County CoC,,,,,
TX-603,Texas,El Paso City & County CoC,,,,,,,
TX-604,Texas,Waco,McLennan County CoC,,,,,,
TX-607,Texas,Texas Balance of State CoC,,,,,,,
TX-611,Texas,Amarillo CoC,,,,,,,
TX-624,Texas,Wichita Falls,Wise,Palo Pinto,Wichita,Archer Counties CoC,,,
TX-700,Texas,Houston,Pasadena,Conroe,Harris,Ft. Bend,Montgomery Counties CoC,,
TX-701,Texas,Bryan,College Station,Brazos Valley CoC,,,,,
