CoC Code,State,Section of CoC
NY-525,New York,NewYorkBalanceofState
NY-600,New York,NewYorkCity
NY-601,New York,Poughkeepsie
NY-601,New York,Dutchess
NY-602,New York,Newburgh
NY-602,New York,Middletown
NY-602,New York,Orange
NY-603,New York,Nassau
NY-603,New York,Suffolk
NY-604,New York,Yonkers
NY-604,New York,MountVernon
NY-604,New York,Westchester
NY-606,New York,Rockland
NY-608,New York,Kingston
NY-608,New York,Ulster
OH-500,Ohio,Cincinnati
OH-500,Ohio,Hamilton
OH-501,Ohio,Toledo
OH-501,Ohio,Lucas
OH-502,Ohio,Cleveland
OH-502,Ohio,Cuyahoga
OH-503,Ohio,Columbus
OH-503,Ohio,Franklin
OH-504,Ohio,Youngstown
OH-504,Ohio,Mahoning
OH-505,Ohio,Dayton
OH-505,Ohio,Kettering
OH-505,Ohio,Montgomery
OH-506,Ohio,Akron
OH-506,Ohio,Barberton
OH-506,Ohio,Summit
OH-507,Ohio,OhioBalanceofState
OH-508,Ohio,Canton
OH-508,Ohio,Massillon
OH-508,Ohio,Alliance
OH-508,Ohio,Stark
OK-501,Oklahoma,Tulsa
OK-502,Oklahoma,OklahomaCity
OK-503,Oklahoma,OklahomaBalanceofState
OK-504,Oklahoma,Norman
OK-504,Oklahoma,Cleveland
OR-500,Oregon,Eugene
OR-500,Oregon,Springfield
OR-500,Oregon,Lane
OR-501,Oregon,Portland
OR-501,Oregon,Gresham
OR-501,Oregon,Multnomah
OR-502,Oregon,Medford
OR-502,Oregon,Ashland
OR-502,Oregon,Jackson
OR-504,Oregon,Salem
OR-504,Oregon,Marion
OR-504,Oregon,Polk
OR-505,Oregon,OregonBalanceofState
OR-506,Oregon,Hillsboro
OR-506,Oregon,Beaverton
OR-506,Oregon,Washington
OR-507,Oregon,Clackamas
PA-500,Pennsylvania,Philadelphia
PA-501,Pennsylvania,Harrisburg
PA-501,Pennsylvania,Dauphin
PA-502,Pennsylvania,UpperDarby
PA-502,Pennsylvania,Chester
PA-502,Pennsylvania,Haverford
PA-502,Pennsylvania,Delaware
PA-503,Pennsylvania,Wilkes-Barre
PA-503,Pennsylvania,Hazleton
PA-503,Pennsylvania,Luzerne
PA-504,Pennsylvania,LowerMerion
PA-504,Pennsylvania,Norristown
PA-504,Pennsylvania,Abington
PA-504,Pennsylvania,Montgomery
PA-505,Pennsylvania,Chester
PA-506,Pennsylvania,Reading
PA-506,Pennsylvania,Berks
PA-508,Pennsylvania,Scranton
PA-508,Pennsylvania,Lackawanna
PA-510,Pennsylvania,Lancaster
PA-511,Pennsylvania,Bristol
PA-511,Pennsylvania,Bensalem
PA-511,Pennsylvania,Bucks
PA-512,Pennsylvania,York
PA-600,Pennsylvania,Pittsburgh
PA-600,Pennsylvania,McKeesport
PA-600,Pennsylvania,PennHills
PA-600,Pennsylvania,Allegheny
PA-603,Pennsylvania,Beaver
PA-605,Pennsylvania,Erie
PR-502,Puerto Rico,PuertoRicoBalanceofCommonwealth
PR-503,Puerto Rico,South-SoutheastPuertoRico
RI-500,Rhode Island,RhodeIslandStatewide
SC-500,South Carolina,Charleston
SC-500,South Carolina,LowCountry
SC-501,South Carolina,Greenville
SC-501,South Carolina,Anderson
SC-501,South Carolina,Spartanburg
SC-501,South Carolina,Upstate
SC-502,South Carolina,Columbia
SC-502,South Carolina,Midlands
SC-503,South Carolina,MyrtleBeach
SC-503,South Carolina,Sumter
SD-500,South Dakota,SouthDakotaStatewide
TN-500,Tennessee,Chattanooga
TN-501,Tennessee,Memphis
TN-501,Tennessee,Shelby
TN-502,Tennessee,Knoxville
TN-502,Tennessee,Knox
TN-504,Tennessee,Nashville-Davidson
TN-506,Tennessee,UpperCumberland
TN-507,Tennessee,Jackson
TN-509,Tennessee,AppalachianRegional
TN-510,Tennessee,Murfreesboro
TN-510,Tennessee,Rutherford
TN-512,Tennessee,Morristown
TN-512,Tennessee,Blount
TN-512,Tennessee,Sevier
TN-512,Tennessee,Campbell
TN-512,Tennessee,Cocke
TX-500,Texas,SanAntonio
TX-500,Texas,Bexar
TX-503,Texas,Austin
TX-503,Texas,Travis
TX-600,Texas,Dallas
TX-600,Texas,Irving
TX-601,Texas,FortWorth
TX-601,Texas,Arlington
TX-601,Texas,Tarrant
TX-603,Texas,ElPaso
TX-604,Texas,Waco
TX-604,Texas,McLennan
TX-607,Texas,TexasBalanceofState
TX-611,Texas,Amarillo
TX-624,Texas,WichitaFalls
TX-624,Texas,Wise
TX-624,Texas,PaloPinto
TX-624,Texas,Wichita
TX-624,Texas,Archer
TX-700,Texas,Houston
TX-700,Texas,Pasadena
TX-700,Texas,Conroe
TX-700,Texas,Harris
TX-700,Texas,Ft.Bend
TX-700,Texas,Montgomery
TX-701,Texas,Bryan
TX-701,Texas,CollegeStation
TX-701,Texas,BrazosValley
UT-500,Utah,SaltLake
UT-503,Utah,UtahBalanceofState
UT-504,Utah,Provo
UT-504,Utah,Mountainland
VA-500,Virginia,Richmond
VA-500,Virginia,Henrico
VA-500,Virginia,Chesterfield
VA-500,Virginia,Hanover
VA-501,Virginia,Norfolk
