CoC Code,State Name,CoC Name,County Name,Homeless Count,Avg. Rent Price,Poverty Count,Poverty Pct.,Unemployed Count,Unemployed Pct.,Education Count No HS Diploma,Education Count No College
KS-507,Kansas,kansasbalanceofstate,labette,929,none,3294,16,330,3,1365,4282
KS-507,Kansas,kansasbalanceofstate,lane,929,none,145,9,16,2,46,307
KS-507,Kansas,kansasbalanceofstate,leavenworth,929,962.9000785,6637,8,1254,3,3904,15525
KS-507,Kansas,kansasbalanceofstate,lincoln,929,none,320,11,38,2,92,538
KS-507,Kansas,kansasbalanceofstate,linn,929,none,1142,11,190,4,433,2653
KS-507,Kansas,kansasbalanceofstate,logan,929,none,237,8,27,1,142,588
KS-507,Kansas,kansasbalanceofstate,lyon,929,none,4223,13,496,2,2246,6103
KS-507,Kansas,kansasbalanceofstate,mcpherson,929,none,2535,8,374,2,1689,5298
KS-507,Kansas,kansasbalanceofstate,marion,929,none,1166,10,149,2,664,2441
KS-507,Kansas,kansasbalanceofstate,marshall,929,none,1043,10,109,2,594,2719
KS-507,Kansas,kansasbalanceofstate,meade,929,none,379,9,49,2,406,602
KS-507,Kansas,kansasbalanceofstate,miami,929,none,2440,7,534,3,1085,6932
KS-507,Kansas,kansasbalanceofstate,mitchell,929,none,568,10,70,2,202,1004
KS-507,Kansas,kansasbalanceofstate,montgomery,929,none,4784,15,588,4,2148,6889
KS-507,Kansas,kansasbalanceofstate,morris,929,none,573,10,74,2,284,1394
KS-507,Kansas,kansasbalanceofstate,morton,929,none,295,11,30,2,222,651
KS-507,Kansas,kansasbalanceofstate,nemaha,929,none,840,8,102,1,432,2458
KS-507,Kansas,kansasbalanceofstate,neosho,929,none,2288,15,266,4,948,3221
KS-507,Kansas,kansasbalanceofstate,ness,929,none,252,9,30,2,161,626
KS-507,Kansas,kansasbalanceofstate,norton,929,none,584,12,49,1,390,1231
KS-507,Kansas,kansasbalanceofstate,osage,929,none,1576,10,245,3,905,4276
KS-507,Kansas,kansasbalanceofstate,osborne,929,none,410,12,37,1,150,871
KS-507,Kansas,kansasbalanceofstate,ottawa,929,none,616,10,85,2,203,1341
KS-507,Kansas,kansasbalanceofstate,pawnee,929,none,782,14,65,2,453,1613
KS-507,Kansas,kansasbalanceofstate,phillips,929,none,569,12,58,2,321,1213
KS-507,Kansas,kansasbalanceofstate,pottawatomie,929,none,2049,8,318,2,683,4633
KS-507,Kansas,kansasbalanceofstate,pratt,929,none,1027,11,113,2,430,1628
KS-507,Kansas,kansasbalanceofstate,rawlins,929,none,288,11,26,1,85,517
KS-507,Kansas,kansasbalanceofstate,reno,929,654.1616827,7654,13,974,3,3724,12859
KS-507,Kansas,kansasbalanceofstate,republic,929,none,509,11,56,2,161,1053
KS-507,Kansas,kansasbalanceofstate,rice,929,none,1125,12,133,2,433,1892
KS-507,Kansas,kansasbalanceofstate,riley,929,1021.069053,11134,17,975,2,1447,5987
KS-507,Kansas,kansasbalanceofstate,rooks,929,none,475,10,62,2,336,1171
KS-507,Kansas,kansasbalanceofstate,rush,929,none,379,13,39,2,157,664
KS-507,Kansas,kansasbalanceofstate,russell,929,none,961,14,84,2,327,1353
KS-507,Kansas,kansasbalanceofstate,saline,929,none,6764,12,903,3,2447,10860
KS-507,Kansas,kansasbalanceofstate,scott,929,none,362,7,46,1,534,926
KS-507,Kansas,kansasbalanceofstate,seward,929,none,2899,13,283,2,3817,4006
KS-507,Kansas,kansasbalanceofstate,sheridan,929,none,272,11,28,1,71,578
KS-507,Kansas,kansasbalanceofstate,sherman,929,none,777,13,74,2,366,1162
KS-507,Kansas,kansasbalanceofstate,smith,929,none,425,12,36,1,101,1036
KS-507,Kansas,kansasbalanceofstate,stafford,929,none,489,12,46,2,217,862
KS-507,Kansas,kansasbalanceofstate,stanton,929,none,217,10,22,2,239,495
KS-507,Kansas,kansasbalanceofstate,stevens,929,none,521,9,62,2,859,883
KS-507,Kansas,kansasbalanceofstate,sumner,929,none,2694,12,449,4,1015,5328
KS-507,Kansas,kansasbalanceofstate,thomas,929,none,651,8,82,1,398,1164
KS-507,Kansas,kansasbalanceofstate,trego,929,none,286,10,31,2,114,633
KS-507,Kansas,kansasbalanceofstate,wabaunsee,929,none,530,7,94,2,169,1758
KS-507,Kansas,kansasbalanceofstate,wallace,929,none,185,12,16,1,46,300
KS-507,Kansas,kansasbalanceofstate,washington,929,none,536,9,55,1,244,1589
KS-507,Kansas,kansasbalanceofstate,wilson,929,none,1429,17,157,4,562,2250
KS-507,Kansas,kansasbalanceofstate,woodson,929,none,432,14,54,3,221,905
KS-507,Kansas,kansasbalanceofstate,wyandotte,929,1080.503252,27959,16,3698,4,20121,34494
KY-500,Kentucky,kentuckybalanceofstate,adair,2189,none,4237,24,342,4,1866,4962
KY-500,Kentucky,kentuckybalanceofstate,allen,2189,none,3516,17,343,3,1999,5909
KY-500,Kentucky,kentuckybalanceofstate,anderson,2189,none,2144,9,449,3,1442,5565
KY-500,Kentucky,kentuckybalanceofstate,ballard,2189,none,1095,14,165,4,599,2178
KY-500,Kentucky,kentuckybalanceofstate,barren,2189,none,8455,19,899,5,4803,13133
KY-500,Kentucky,kentuckybalanceofstate,bath,2189,none,2600,20,252,5,1512,3695
KY-500,Kentucky,kentuckybalanceofstate,bell,2189,none,7388,32,444,5,4264,7270
KY-500,Kentucky,kentuckybalanceofstate,boone,2189,1491.668449,8664,6,2548,3,6052,25378
KY-500,Kentucky,kentuckybalanceofstate,bourbon,2189,none,3008,15,356,3,1980,4787
KY-500,Kentucky,kentuckybalanceofstate,boyd,2189,none,9672,21,1002,5,4064,11307
KY-500,Kentucky,kentuckybalanceofstate,boyle,2189,none,4247,15,596,4,2098,7175
KY-500,Kentucky,kentuckybalanceofstate,bracken,2189,none,1241,14,168,4,642,2707
KY-500,Kentucky,kentuckybalanceofstate,breathitt,2189,none,4117,31,261,8,2203,3752
KY-500,Kentucky,kentuckybalanceofstate,breckinridge,2189,none,3427,16,394,4,1952,6224
KY-500,Kentucky,kentuckybalanceofstate,bullitt,2189,none,9146,11,1895,4,6060,23540
KY-500,Kentucky,kentuckybalanceofstate,butler,2189,none,2203,18,217,4,1664,3985
KY-500,Kentucky,kentuckybalanceofstate,caldwell,2189,none,2001,16,237,4,1160,3630
KY-500,Kentucky,kentuckybalanceofstate,calloway,2189,none,5792,16,752,4,2275,7286
KY-500,Kentucky,kentuckybalanceofstate,campbell,2189,1150.941856,10009,11,1913,3,4486,17108
KY-500,Kentucky,kentuckybalanceofstate,carlisle,2189,none,738,15,83,3,488,1582
KY-500,Kentucky,kentuckybalanceofstate,carroll,2189,none,1890,17,208,3,1371,3010
KY-500,Kentucky,kentuckybalanceofstate,carter,2189,none,6592,25,695,7,3752,7312
KY-500,Kentucky,kentuckybalanceofstate,casey,2189,none,3188,20,265,3,2813,4455
KY-500,Kentucky,kentuckybalanceofstate,christian,2189,884.0411374,11046,16,1357,5,5672,12978
KY-500,Kentucky,kentuckybalanceofstate,clark,2189,none,4202,11,710,4,2787,9425
KY-500,Kentucky,kentuckybalanceofstate,clay,2189,none,6660,35,328,6,4658,5566
KY-500,Kentucky,kentuckybalanceofstate,clinton,2189,none,2071,22,168,4,1466,2572
KY-500,Kentucky,kentuckybalanceofstate,crittenden,2189,none,1654,18,157,4,906,2799
KY-500,Kentucky,kentuckybalanceofstate,cumberland,2189,none,1308,22,111,3,886,1991
KY-500,Kentucky,kentuckybalanceofstate,edmonson,2189,none,2237,18,227,4,1687,4047
KY-500,Kentucky,kentuckybalanceofstate,elliott,2189,none,1697,26,148,7,1369,2545
KY-500,Kentucky,kentuckybalanceofstate,estill,2189,none,3148,22,249,4,2597,4329
KY-500,Kentucky,kentuckybalanceofstate,fleming,2189,none,2639,17,281,4,1896,4094
KY-500,Kentucky,kentuckybalanceofstate,floyd,2189,none,9775,28,709,6,5794,9876
KY-500,Kentucky,kentuckybalanceofstate,franklin,2189,719.4573249,6670,13,1034,4,3404,10924
KY-500,Kentucky,kentuckybalanceofstate,fulton,2189,none,1415,23,103,5,909,1775
KY-500,Kentucky,kentuckybalanceofstate,gallatin,2189,none,1280,14,164,4,874,2885
KY-500,Kentucky,kentuckybalanceofstate,garrard,2189,none,2492,14,324,4,1779,4669
KY-500,Kentucky,kentuckybalanceofstate,grant,2189,none,3149,12,492,4,1868,7209
